query;score;competitiveness
шифр свинопаса;7;AVERAGE
шифр свинарника;2;AVERAGE
шифр свиньи;2;HIGH
pigpen;8;AVERAGE
pigpen cipher;7;HIGH
шифр pigpen;2;HIGH
pigpen cipher to text;1;NO_DATA
pigpen шифр как расшифровать;1;HIGH
pigpen шифр;1;HIGH
