query;score;competitiveness
книжный шифр;19;HIGH
из чего состоит шифр книги;4;HIGH
книжный шифр как расшифровать;3;HIGH
шифр оттендорфа;3;HIGH
книжный шифр онлайн;2;HIGH
шифр книги;2;HIGH
шифр по книге;1;HIGH
шифр отендорфа;1;HIGH
